elements*1000,comparisons
870,20712806
871,21296305
872,21696946
873,20946169
874,22822365
875,22085655
876,21976099
877,20845506
878,21095317
879,21500085
880,21432918
881,21358475
882,21518197
883,20786557
884,22033008
885,21007814
886,21577909
887,21286157
888,21593474
889,21309107
890,22355203
891,21789290
892,21385976
893,21539571
894,23278410
895,22221470
896,22115658
897,21470794
898,22007576
899,21727961
900,22242997
901,22963440
902,22008828
903,21977706
904,22056102
905,21973817
906,21956789
907,22420696
908,21239422
909,21341151
910,22885572
911,21677188
912,22153216
913,23164704
914,22828155
915,21908304
916,21691462
917,21990364
918,23072449
919,22286759
920,21732388
921,22085092
922,22661097
923,23330820
924,23001534
925,22247979
926,22749299
927,23187084
928,22353826
929,22072334
930,22070671
931,23150619
932,22419936
933,22606082
934,24564092
935,22734767
936,22864137
937,23241447
938,22810439
939,23160348
940,22836233
941,23592253
942,24121359
943,22472252
944,24018555
945,23522119
946,22788572
947,23545418
948,23677616
949,24087933
950,24623962
951,25094267
952,23668297
953,22658175
954,23104480
955,24408046
956,23534031
957,23013428
958,23122439
959,24242042
960,23143598
961,25503862
962,23599240
963,23228728
964,24092661
965,24028671
966,25084342
967,23104455
968,24972725
969,24819614
970,23376879
971,23507137
972,23396348
973,23257423
974,25539475
975,25028070
976,24003267
977,23720584
978,23291125
979,24698063
980,23674848
981,24319383
982,24659658
983,23701205
984,23498988
985,24152865
986,24270999
987,23979054
988,24440756
989,24048479
990,23814832
991,26237612
992,23880372
993,24236838
994,24394109
995,24436864
996,24867596
997,24658789
998,24396801
999,24235195
